x1 y1 z1 x2 y2 z2
//1
4
3180.0 -4300.0 0.0 3900.0 -4300.0 0.0
3900.0 -4300.0 0.0 3900.0 -1975.0 0.0
3900.0 -1975.0 0.0 3180.0 -1975.0 0.0
3180.0 -1975.0 0.0 3180.0 -4300.0 0.0

//2
3800.0 -2550.0 0.0 3800.0 -2850 0.0
3800.0 -2850.0 0.0 -610.0 -2850 0.0
-610.0 -2850.0 0.0 -610.0 -2550.0 0.0
-610.0 -2550.0 0.0 3800.0 -2550.0 0.0

//3
2670.0 -2850.0 0.0 2430.0 -2850.0 0.0
2430.0 -2850.0 0.0 2430.0 -2000.0 0.0
2430.0 -2000.0 0.0 2670.0 -2000.0 0.0
2670.0 -2000.0 0.0 2670.0 -2850.0 0.0 

//4
920.0 -2060.0 0.0 920.0 -2420.0 0.0
920.0 -2420.0 0.0 670.0 -2420.0 0.0
670.0 -2420.0 0.0 670.0 -2060.0 0.0
670.0 -2060.0 0.0 920.0 -2060.0 0.0

//5
880.0 -2100.0 0.0 880.0 -2400.0 0.0
880.0 -2400.0 0.0 520.0 -2400.0 0.0
520.0 -2400.0 0.0 520.0 -2100.0 0.0
520.0 -2100.0 0.0 880.0 -2100.0 0.0 
